Date,Open,High,Low,Close,Adj Close,Volume
2017-07-27,16.000000,16.200001,15.500000,15.525000,15.360413,30202953
2017-07-28,15.470000,15.630000,15.350000,15.410000,15.246633,17729054
2017-07-31,15.420000,15.535000,14.990000,15.090000,14.930025,16238204
2017-08-01,15.190000,15.410000,14.990000,15.315000,15.152639,12639414
2017-08-02,15.365000,15.400000,15.100000,15.140000,14.979495,10459502
2017-08-03,15.105000,15.330000,15.005000,15.280000,15.118011,10316176
2017-08-04,15.220000,15.650000,15.165000,15.640000,15.474195,12468072
2017-08-07,15.650000,15.670000,15.445000,15.470000,15.305997,7847140
2017-08-08,15.365000,15.525000,15.230000,15.465000,15.301049,8488940
2017-08-09,15.200000,15.270000,14.760000,14.880000,14.722251,20324875
2017-08-10,14.910000,14.920000,14.405000,14.420000,14.267128,18625298
2017-08-11,14.300000,14.400000,13.955000,14.220000,14.069248,19121043
2017-08-14,14.490000,14.760000,14.450000,14.660000,14.504583,13127376
2017-08-15,14.700000,14.770000,14.440000,14.580000,14.425431,8549489
2017-08-16,14.690000,14.775000,14.550000,14.580000,14.425431,8185050
2017-08-17,14.500000,14.500000,14.075000,14.110000,13.960414,17049180
2017-08-18,13.880000,14.140000,13.755000,14.100000,13.950521,16280517
2017-08-21,14.050000,14.125000,13.730000,13.760000,13.614125,13964168
2017-08-22,13.820000,13.890000,13.695000,13.740000,13.594337,11672421
2017-08-23,13.810000,14.030000,13.675000,13.800000,13.653701,11436386
2017-08-24,13.845000,13.900000,13.690000,13.805000,13.658648,10034602
2017-08-25,13.850000,14.000000,13.770000,13.795000,13.648754,7781219
2017-08-28,13.740000,13.825000,13.695000,13.710000,13.564654,5059169
2017-08-29,13.620000,13.620000,13.290000,13.305000,13.163949,15909293
2017-08-30,13.490000,13.565000,13.345000,13.450000,13.307411,7806920
2017-08-31,13.500000,13.640000,13.415000,13.470000,13.327199,10696296
2017-09-01,13.530000,13.595000,13.195000,13.535000,13.391510,12954255
2017-09-04,13.400000,13.525000,13.375000,13.470000,13.327199,6526139
2017-09-05,13.495000,13.500000,13.205000,13.215000,13.074903,10661572
2017-09-06,13.185000,13.475000,13.110000,13.415000,13.272782,12204537
2017-09-07,13.525000,13.590000,13.255000,13.255000,13.114478,14889628
2017-09-08,13.200000,13.475000,13.150000,13.340000,13.198578,8960042
2017-09-11,13.495000,13.710000,13.470000,13.710000,13.564654,12034779
2017-09-12,13.860000,14.265000,13.810000,14.200000,14.049459,18623389
2017-09-13,14.170000,14.285000,14.125000,14.140000,13.990096,10026438
2017-09-14,14.090000,14.245000,13.975000,14.045000,13.896104,13900829
2017-09-15,14.000000,14.055000,13.810000,13.810000,13.663595,35130817
2017-09-18,13.970000,13.995000,13.800000,13.855000,13.708117,8650218
2017-09-19,13.855000,13.910000,13.710000,13.800000,13.653701,7247453
2017-09-20,13.745000,13.770000,13.505000,13.570000,13.426139,13990754
2017-09-21,13.780000,14.105000,13.760000,13.935000,13.787270,19549864
2017-09-22,13.970000,13.985000,13.805000,13.900000,13.752640,8931804
2017-09-25,13.870000,13.895000,13.640000,13.665000,13.520132,10465814
2017-09-26,13.580000,13.780000,13.560000,13.625000,13.480556,8628043
2017-09-27,13.700000,14.015000,13.685000,13.995000,13.846633,14199387
2017-09-28,14.120000,14.630000,14.120000,14.370000,14.217658,20348282
2017-09-29,14.370000,14.640000,14.275000,14.630000,14.474901,15745572
2017-10-02,14.700000,14.765000,14.375000,14.490000,14.336386,11884217
2017-10-03,14.490000,14.490000,14.490000,14.490000,14.336386,0
2017-10-04,14.510000,14.510000,14.155000,14.350000,14.197870,13336204
2017-10-05,14.245000,14.700000,14.220000,14.700000,14.544159,11361001
2017-10-06,14.730000,14.770000,14.590000,14.720000,14.563948,10773309
2017-10-09,14.710000,14.785000,14.375000,14.375000,14.222605,11030736
2017-10-10,14.390000,14.460000,14.230000,14.305000,14.153347,9928200
2017-10-11,14.450000,14.485000,14.210000,14.320000,14.168188,8541996
2017-10-12,14.315000,14.320000,14.110000,14.170000,14.019778,9272524
2017-10-13,14.185000,14.240000,13.955000,13.995000,13.846633,12445846
2017-10-16,14.085000,14.235000,13.985000,14.115000,13.965361,8650274
2017-10-17,14.170000,14.315000,14.110000,14.250000,14.098930,8666322
2017-10-18,14.245000,14.410000,14.195000,14.380000,14.227552,7400188
2017-10-19,14.400000,14.490000,14.140000,14.180000,14.029673,9142078
2017-10-20,14.300000,14.430000,14.245000,14.400000,14.247339,10136266
2017-10-23,14.375000,14.415000,14.200000,14.235000,14.084088,8790639
2017-10-24,14.200000,14.745000,14.200000,14.660000,14.504583,19777683
2017-10-25,14.685000,14.815000,14.480000,14.535000,14.380908,17935959
2017-10-26,14.450000,14.465000,14.105000,14.400000,14.247339,24296089
2017-10-27,14.485000,14.545000,14.125000,14.160000,14.009884,18794530
2017-10-30,14.140000,14.200000,13.930000,13.950000,13.802111,14474391
2017-10-31,13.950000,13.950000,13.950000,13.950000,13.802111,0
2017-11-01,14.010000,14.175000,13.825000,14.170000,14.019778,18897548
2017-11-02,14.200000,14.635000,14.175000,14.635000,14.479849,22913643
2017-11-03,14.645000,14.735000,14.430000,14.510000,14.356174,18437497
2017-11-06,14.465000,14.515000,14.255000,14.510000,14.356174,13790060
2017-11-07,14.600000,14.715000,14.495000,14.530000,14.375961,14514345
2017-11-08,14.460000,14.740000,14.320000,14.740000,14.583735,19262305
2017-11-09,14.740000,15.060000,14.720000,14.990000,14.831085,23827910
2017-11-10,14.990000,15.530000,14.990000,15.460000,15.296103,26053404
2017-11-13,15.470000,15.670000,15.260000,15.370000,15.207056,18902201
2017-11-14,15.540000,15.675000,15.340000,15.465000,15.301049,15893440
2017-11-15,15.325000,15.830000,14.975000,15.760000,15.592922,31198178
2017-11-16,15.880000,16.219999,15.845000,16.174999,16.003521,21012890
2017-11-17,16.200001,16.385000,16.049999,16.225000,16.052992,17585968
2017-11-20,16.030001,16.440001,16.010000,16.350000,16.176668,15197129
2017-11-21,16.320000,16.434999,16.235001,16.235001,16.062887,15366378
2017-11-22,16.245001,16.309999,16.030001,16.030001,15.860061,10962538
2017-11-23,15.950000,16.065001,15.800000,15.970000,15.800695,9967014
2017-11-24,15.985000,16.219999,15.960000,16.049999,15.879847,9627791
2017-11-27,16.000000,16.145000,15.710000,15.710000,15.543452,11443970
2017-11-28,15.735000,15.810000,15.505000,15.700000,15.533558,11691913
2017-11-29,15.950000,16.100000,15.885000,16.070000,15.899635,12899572
2017-11-30,16.049999,16.195000,15.860000,15.860000,15.691861,14275027
2017-12-01,15.845000,16.070000,15.655000,15.775000,15.607762,14003321
2017-12-04,16.145000,16.195000,15.980000,16.139999,15.968893,10330730
2017-12-05,16.170000,16.195000,15.830000,15.955000,15.785854,11537269
2017-12-06,15.800000,15.825000,15.655000,15.710000,15.543452,11827378
2017-12-07,15.750000,15.965000,15.660000,15.965000,15.795749,9512640
2017-12-08,16.094999,16.575001,16.084999,16.490000,16.315182,24585872
2017-12-11,16.540001,16.559999,16.305000,16.340000,16.166773,10116213
2017-12-12,16.430000,16.520000,16.219999,16.520000,16.344866,9604308
2017-12-13,16.450001,16.594999,16.355000,16.520000,16.344866,9820827
2017-12-14,16.459999,16.565001,16.334999,16.365000,16.191507,12560608
2017-12-15,16.299999,16.580000,16.184999,16.540001,16.364655,26606739
2017-12-18,16.645000,17.125000,16.600000,17.100000,16.918716,20202960
2017-12-19,17.049999,17.100000,16.805000,16.805000,16.626844,12473865
2017-12-20,16.860001,16.950001,16.605000,16.639999,16.463593,10210189
2017-12-21,16.600000,16.625000,16.305000,16.520000,16.344866,12023710
2017-12-22,16.500000,16.590000,16.315001,16.315001,16.142038,8687316
2017-12-27,16.270000,16.350000,16.065001,16.070000,15.899635,7066492
2017-12-28,16.000000,16.120001,15.890000,15.940000,15.771013,6956824
2017-12-29,15.965000,15.980000,15.825000,15.875000,15.706703,5592819
2018-01-02,16.034000,16.087999,15.780000,15.958000,15.788823,12548973
2018-01-03,16.070000,16.077999,15.812000,15.910000,15.741331,15445581
2018-01-04,15.970000,16.358000,15.884000,16.332001,16.158859,17568313
2018-01-05,16.400000,16.455999,15.432000,15.490000,15.325784,33995534
2018-01-08,15.500000,15.520000,15.106000,15.340000,15.177375,22861725
2018-01-09,15.320000,15.322000,15.000000,15.110000,14.949813,17739005
2018-01-10,15.140000,15.558000,15.124000,15.558000,15.393063,23587748
2018-01-11,15.550000,15.564000,15.294000,15.348000,15.185289,19514183
2018-01-12,15.470000,15.474000,15.124000,15.286000,15.123947,14266354
2018-01-15,15.290000,15.398000,15.190000,15.350000,15.187269,7953150
2018-01-16,15.380000,15.420000,15.152000,15.228000,15.066562,10291307
2018-01-17,15.150000,15.208000,14.966000,15.100000,14.939919,11817738
2018-01-18,15.150000,15.258000,15.026000,15.180000,15.019071,11472194
2018-01-19,15.150000,15.344000,15.128000,15.334000,15.171438,14553062
2018-01-22,15.348000,15.832000,15.240000,15.784000,15.616668,20340267
2018-01-23,15.834000,16.016001,15.722000,15.878000,15.709671,16720457
2018-01-24,15.944000,16.209999,15.784000,15.882000,15.713629,15672405
2018-01-25,15.850000,16.016001,15.724000,15.800000,15.632498,13727918
2018-01-26,15.750000,15.880000,15.620000,15.650000,15.484088,10351664
2018-01-29,15.744000,15.788000,15.468000,15.486000,15.321827,12350637
2018-01-30,15.270000,15.326000,14.794000,14.794000,14.637162,22832825
2018-01-31,14.854000,14.992000,14.776000,14.794000,14.637162,16897184
2018-02-01,14.914000,15.040000,14.652000,14.774000,14.617375,16363759
2018-02-02,14.150000,14.256000,13.726000,13.856000,13.709107,41388661
2018-02-05,13.750000,14.114000,13.620000,13.652000,13.507270,21980378
2018-02-06,13.200000,13.486000,13.056000,13.168000,13.028401,33215578
2018-02-07,13.294000,13.294000,12.632000,13.110000,12.971015,37059448
2018-02-08,13.150000,13.484000,12.700000,12.800000,12.664302,25741046
2018-02-09,12.770000,12.932000,12.370000,12.514000,12.381334,33071547
2018-02-12,12.776000,13.234000,12.660000,13.018000,12.879991,28376833
2018-02-13,13.048000,13.140000,12.820000,12.820000,12.684090,15744111
2018-02-14,12.990000,13.008000,12.706000,12.932000,12.794903,20581459
2018-02-15,13.100000,13.322000,12.796000,12.872000,12.735538,17720986
2018-02-16,12.980000,13.060000,12.740000,12.922000,12.785008,16863561
2018-02-19,13.080000,13.324000,13.044000,13.194000,13.054126,12275601
2018-02-20,13.232000,13.394000,13.104000,13.394000,13.252005,14016742
2018-02-21,13.368000,13.622000,13.304000,13.582000,13.438011,14211572
2018-02-22,13.480000,13.642000,13.286000,13.448000,13.305432,11953105
2018-02-23,13.494000,13.510000,13.276000,13.296000,13.155044,7787961
2018-02-26,13.382000,13.448000,13.286000,13.314000,13.172853,8174091
2018-02-27,13.322000,13.470000,13.266000,13.454000,13.311369,9484022
2018-02-28,13.370000,13.498000,13.190000,13.200000,13.060061,10196665
2018-03-01,13.100000,13.138000,12.854000,12.950000,12.812712,16593706
2018-03-02,12.774000,12.818000,12.506000,12.550000,12.416952,17585980
2018-03-05,12.500000,12.888000,12.500000,12.824000,12.688048,15884219
2018-03-06,12.978000,13.076000,12.840000,12.862000,12.725645,12996960
2018-03-07,12.830000,13.176000,12.750000,13.176000,13.036316,12540799
2018-03-08,13.136000,13.174000,12.872000,13.100000,12.961122,11502455
2018-03-09,13.072000,13.150000,12.974000,13.038000,12.899779,9697784
2018-03-12,13.184000,13.256000,12.998000,13.060000,12.921546,8797324
2018-03-13,13.060000,13.190000,12.774000,12.826000,12.690026,12084386
2018-03-14,12.800000,12.898000,12.610000,12.710000,12.575256,11070965
2018-03-15,12.878000,12.886000,12.650000,12.774000,12.638577,10831462
2018-03-16,12.800000,12.926000,12.722000,12.842000,12.705857,24337587
2018-03-19,12.780000,12.878000,12.518000,12.550000,12.416952,11612773
2018-03-20,12.642000,12.752000,12.606000,12.660000,12.525786,8383031
2018-03-21,12.750000,12.750000,11.776000,12.008000,11.880699,35211721
2018-03-22,11.900000,11.932000,11.522000,11.650000,11.526493,25620915
2018-03-23,11.500000,11.506000,10.998000,11.318000,11.198013,32815496
2018-03-26,11.390000,11.390000,11.076000,11.186000,11.067412,16998795
2018-03-27,11.500000,11.578000,11.198000,11.314000,11.194056,17439257
2018-03-28,11.150000,11.284000,11.068000,11.196000,11.077307,16967950
2018-03-29,11.244000,11.390000,11.202000,11.326000,11.205929,15627252
2018-04-03,11.192000,11.272000,11.000000,11.162000,11.043667,14029361
2018-04-04,11.080000,11.226000,10.824000,11.168000,11.049603,18734786
2018-04-05,11.362000,11.714000,11.354000,11.660000,11.536387,18363917
2018-04-06,11.530000,11.550000,11.316000,11.352000,11.231653,14413549
2018-04-09,11.846000,11.884000,11.420000,11.484000,11.362254,18110479
2018-04-10,11.550000,11.592000,11.316000,11.432000,11.310805,14688234
2018-04-11,11.440000,11.620000,11.370000,11.490000,11.368190,12244036
2018-04-12,11.480000,11.712000,11.438000,11.668000,11.544303,8885555
2018-04-13,11.702000,11.938000,11.626000,11.700000,11.575963,12060158
2018-04-16,11.758000,11.794000,11.560000,11.600000,11.477024,9177755
